variable,cluster
sir sol,24
tspan,0
du[2],26
(b  g),26
S,23
pram,31
init,26
sir prob2,24
(S  I  R),12
du[3],26
parms,26
BETA ,5
GAMMA ,5
I,12
du[1],26
sir prob,12
ALPHA ,5
sir sol,24
tspan,0
BETA s[:  i],12
w,26
MU ,26
K,26
init,26
(BETA   r  MU   K  ALPHA ),26
dS,12
ws,12
(S  I),23
parms,26
du,19
r,19
dI,19
BETA ,5
m,19
BETA s,23
sir prob,12
i,12
